i i
script.js:48 was wa
script.js:48 running run
script.js:48 in in
script.js:48 the the
script.js:48 park park
script.js:48 when when
script.js:48 i i
script.js:48 saw saw
script.js:48 a a
script.js:48 dog dog
script.js:48 the the
script.js:48 dog dog
script.js:48 ran ran
script.js:48 towards toward
script.js:48 me me
script.js:48 i i
script.js:48 have have
script.js:48 run run
script.js:48 in in
script.js:48 that that
script.js:48 park park
script.js:48 before befor
script.js:48 there there
script.js:48 were were
script.js:48 many mani
script.js:48 dogs dog
script.js:48 in in
script.js:48 the the
script.js:48 park park
